variable,active_samples_test,active_samples_train,active_samples_val,num_events_test,num_events_train,num_events_val,activation_ratio_test,activation_ratio_train,activation_ratio_val,entropy_test,entropy_train,entropy_val,mean_run_length_test,mean_run_length_train,mean_run_length_val,max_run_length_test,max_run_length_train,max_run_length_val,mean_gap_between_events_test,mean_gap_between_events_train,mean_gap_between_events_val
aceite_descargado,0,8853,46914,0,8,2,0.0,0.008784559496959192,0.2203580101362618,0.0,0.0726233063980392,0.7608206803670114,0.0,1106.625,23457.0,0.0,3005.0,27790.0,,122926.0,109045.0
alm_dosificacion,1381,7391,1072,89,463,67,0.010041737562351846,0.00733386188207674,0.005035251457263773,0.08106970232586293,0.06254759634625165,0.04568371472048167,15.51685393258427,15.96328293736501,16.0,65.0,89.0,43.0,1517.9204545454545,2181.3333333333335,3166.181818181818
alm_tolerancia,51,318,101,3,15,7,0.00037083896863138605,0.0003155416152753894,0.0004744033555817547,0.004761330210459748,0.004124870274599163,0.005922428217868571,17.0,21.2,14.428571428571429,29.0,89.0,27.0,41763.5,58884.07142857143,34537.666666666664
and_harina,481,1713,275,34,124,20,0.003497520468856798,0.0016997571917193148,0.0012916923048018074,0.03357487076840339,0.018088686582135256,0.014258067430787367,14.147058823529411,13.814516129032258,13.75,42.0,49.0,43.0,4047.787878787879,8121.065040650406,10997.368421052632
and_harina.1,481,1713,275,34,124,20,0.003497520468856798,0.0016997571917193148,0.0012916923048018074,0.03357487076840339,0.018088686582135256,0.014258067430787367,14.147058823529411,13.814516129032258,13.75,42.0,49.0,43.0,4047.787878787879,8121.065040650406,10997.368421052632
arranque_ciclo,13809,62661,11716,693,3133,628,0.10041010427119236,0.062176582247708105,0.05503078924748355,0.47029424700406963,0.3360252190450555,0.3073946691636054,19.926406926406926,20.000319182891797,18.656050955414013,95.0,326.0,50.0,198.41184971098266,321.6551724137931,339.3652312599681
bajar_elevador,16184,74695,15340,712,3269,673,0.11767956604569318,0.07411755016665161,0.0720529452933081,0.5226538621328002,0.38110498645862195,0.3735385560295414,22.730337078651687,22.849495258488833,22.793462109955424,31.0,37.0,25.0,193.1195499296765,308.3093635250918,316.6279761904762
bascula_harina_descarga,7854,33197,6054,570,2504,474,0.05710920116923345,0.03294036164244372,0.02843601895734597,0.31586099978817245,0.20892978102048584,0.18648688821930176,13.778947368421052,13.25758785942492,12.772151898734178,260.0,693.0,17.0,241.30755711775043,402.3487814622453,449.05496828752644
comienzo_pesadas,128,52411,33203,6,23,17,0.000930733097741518,0.05200582263584414,0.15595658035030696,0.010714011494125007,0.29485720583337927,0.6245480558119354,21.333333333333332,2278.7391304347825,1953.1176470588234,27.0,18365.0,13007.0,19145.2,39685.454545454544,8364.625
descarga_aceite_2,9588,43660,8806,689,3120,631,0.06971772610270058,0.04332247460038838,0.04136233613121715,0.3648693760861156,0.2573235290143068,0.24850395775809064,13.915820029027577,13.993589743589743,13.955625990491283,17.0,18.0,17.0,199.5639534883721,323.092978518756,337.45396825396824
desconectador_rodillo_frontal,0,173,0,0,1,0,0.0,0.00017166257686365526,0.0,0.0,0.002394814488595325,0.0,0.0,173.0,0.0,0.0,173.0,0.0,,,
dosifica_aceite,11702,27906,10719,688,1956,630,0.08508936492008784,0.027690265144261064,0.05034781750971118,0.41986278631799034,0.18267298646641578,0.28787262751801135,17.00872093023256,14.266871165644172,17.014285714285716,31.0,28.0,24.0,199.86026200873363,515.3795396419438,338.27980922098567
dosifica_polvo,408,2461,498,32,192,39,0.0029667117490510884,0.002441974576077778,0.0023391373374229093,0.02918494500085526,0.024709530481917423,0.023814322406653137,12.75,12.817708333333334,12.76923076923077,13.0,17.0,13.0,4214.903225806452,5254.104712041885,5509.1578947368425
