partition,variable,active_samples,num_events,activation_ratio,entropy,mean_run_length,max_run_length,mean_gap_between_events
train,aceite_descargado,8781,8,0.008937104402600218,0.07366145372610966,1097.625,2996.0,121863.57142857143
train,alm_dosificacion,3092,449,0.0031469680916569724,0.03069000173560481,6.88641425389755,94.0,2193.1495535714284
train,alm_tolerancia,175,10,0.00017811106598964105,0.00247529885651816,17.5,94.0,88791.33333333333
train,arranque_ciclo,33143,3062,0.03373220034339813,0.2127764407064089,10.823971260613979,317.0,320.9202874877491
train,arranque_en_automatico,298249,1430,0.30355112754482544,0.8855885505935925,208.56573426573428,66445.0,687.3988803358992
train,bajar_elevador,43760,3163,0.044537944272609674,0.26272492621902055,13.834966803667404,26.0,310.6685641998735
train,bascu_harina_inactiva,0,0,0.0,0.0,0.0,0.0,
train,bascu_harina_no_vacia,0,0,0.0,0.0,0.0,0.0,
train,bascu_liquido_inactiva,0,0,0.0,0.0,0.0,0.0,
train,bascu_liquido_no_vacia,0,0,0.0,0.0,0.0,0.0,
train,bascu_polvo_inactiva,0,0,0.0,0.0,0.0,0.0,
train,bascu_polvo_no_vacia,0,0,0.0,0.0,0.0,0.0,
train,bascula_harina_descarga,10321,2413,0.01050448178330906,0.08411928280375132,4.277248238707004,684.0,407.0675787728027
train,bascula_inactica,0,0,0.0,0.0,0.0,0.0,
train,bascula_polvo_descarga,651968,207,0.6635583741207675,0.9213728132127299,3149.6038647342993,69488.0,4743.6067961165045
train,bascula_polvos,0,0,0.0,0.0,0.0,0.0,
train,cazo_a_vertical,12017,3106,0.012230632457128666,0.09524230151496012,3.8689632968448167,8.0,316.37520128824474
train,cazo_a_vertical_2,12496,3216,0.012718147889180312,0.09831699737140787,3.8855721393034828,8.0,305.5505443234837
train,cazo_no_inmovil,20513,4,0.020877670266545755,0.14634045409117824,5128.25,18352.0,52104.666666666664
train,comienzo_pesadas,52200,25,0.053127986540910076,0.29953867691842095,2088.0,18356.0,36068.458333333336
train,contactor_volteo,826341,13,0.8410312936054056,0.631836654677157,63564.692307692305,213626.0,78175.33333333333
train,corte_de_masa,43686,3162,0.044462628736134054,0.26239170248798593,13.815939278937382,26.0,310.76684593483077
train,descarga_aceite_1,8,2,8.14222015952645e-06,0.00014940025835617234,4.0,4.0,716.0
train,descarga_aceite_2,15021,3013,0.015288036127030847,0.11409558469280182,4.985396614669765,9.0,326.14475431606905
